norm,total_count,n_variants,canonical_suggested,variants,has_accent_variant,has_unaccent_variant
aprendizaje,4,1,aprendizaje,aprendizaje(4),False,True
armado,4,1,armado,armado(4),False,True
computacion,4,1,computación,computación(4),True,False
desechos,4,1,desechos,desechos(4),False,True
estado,4,1,estado,estado(4),False,True
flexion,4,1,flexión,flexión(4),True,False
hidrologia,4,1,hidrología,hidrología(4),True,False
integral,4,1,integral,integral(4),False,True
juegos,4,1,juegos,juegos(4),False,True
losas,4,1,losas,losas(4),False,True
metodos,4,1,métodos,métodos(4),True,False
minerales,4,1,minerales,minerales(4),False,True
modelado,4,1,modelado,modelado(4),False,True
municipales,4,1,municipales,municipales(4),False,True
operaciones,4,1,operaciones,operaciones(4),False,True
ordenamiento,4,1,ordenamiento,ordenamiento(4),False,True
petroleo,4,1,petróleo,petróleo(4),True,False
plc,4,1,plc,plc(4),False,True
propagacion,4,1,propagación,propagación(4),True,False
recuperacion,4,1,recuperación,recuperación(4),True,False
recursos,4,1,recursos,recursos(4),False,True
semestres,4,1,semestres,semestres(4),False,True
siguiente,4,1,siguiente,siguiente(4),False,True
solidos,4,1,sólidos,sólidos(4),True,False
territorial,4,1,territorial,territorial(4),False,True
torsion,4,1,torsión,torsión(4),True,False
una,4,1,una,una(4),False,True
al,3,1,al,al(3),False,True
alto,3,1,alto,alto(3),False,True
banach,3,1,banach,banach(3),False,True
bi,3,1,bi,bi(3),False,True
cableado,3,1,cableado,cableado(3),False,True
campo,3,1,campo,campo(3),False,True
cientifica,3,1,científica,científica(3),True,False
cimentaciones,3,1,cimentaciones,cimentaciones(3),False,True
clasica,3,1,clásica,clásica(3),True,False
contabilidad,3,1,contabilidad,contabilidad(3),False,True
deberia,3,1,debería,debería(3),True,False
docente,3,1,docente,docente(3),False,True
electrodinamica,3,1,electrodinámica,electrodinámica(3),True,False
embebido,3,1,embebido,embebido(3),False,True
energetica,3,1,energética,energética(3),True,False
espacios,3,1,espacios,espacios(3),False,True
estructurado,3,1,estructurado,estructurado(3),False,True
estudio,3,1,estudio,estudio(3),False,True
estudios,3,1,estudios,estudios(3),False,True
financiero,3,1,financiero,financiero(3),False,True
fisicoquimica,3,1,fisicoquímica,fisicoquímica(3),True,False
hilbert,3,1,hilbert,hilbert(3),False,True
ineficiente,3,1,ineficiente,ineficiente(3),False,True
itinerario,3,1,itinerario,itinerario(3),False,True
itinerarios,3,1,itinerarios,itinerarios(3),False,True
